id,speaker_id,book_id,source_id,source_dir,noisy_wav,clean_wav,noisy_sr,clean_sr,noisy_duration_sec,clean_duration_sec,duration_diff_sec,valid,reason,noisy_pick_reason,clean_find_reason
1069_133699_1069-133699-0006,1069,133699,1069-133699-0006,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1069/133699/1069-133699-0006,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1069/133699/1069-133699-0006/1069-133699-0006.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1069/133699/1069-133699-0006.flac,16000,16000,14.515000,14.515000,0.000000,1,ok,priority,exact
1069_133699_1069-133699-0034,1069,133699,1069-133699-0034,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1069/133699/1069-133699-0034,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1069/133699/1069-133699-0034/1069-133699-0034.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1069/133699/1069-133699-0034.flac,16000,16000,14.485000,14.485000,0.000000,1,ok,priority,exact
1069_133699_1069-133699-0038,1069,133699,1069-133699-0038,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1069/133699/1069-133699-0038,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1069/133699/1069-133699-0038/1069-133699-0038.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1069/133699/1069-133699-0038.flac,16000,16000,15.345000,15.345000,0.000000,1,ok,priority,exact
1069_133699_1069-133699-0043,1069,133699,1069-133699-0043,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1069/133699/1069-133699-0043,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1069/133699/1069-133699-0043/1069-133699-0043.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1069/133699/1069-133699-0043.flac,16000,16000,5.090000,5.090000,0.000000,1,ok,priority,exact
1069_133709_1069-133709-0034,1069,133709,1069-133709-0034,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1069/133709/1069-133709-0034,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1069/133709/1069-133709-0034/1069-133709-0034.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1069/133709/1069-133709-0034.flac,16000,16000,13.385000,13.385000,0.000000,1,ok,priority,exact
1069_133709_1069-133709-0041,1069,133709,1069-133709-0041,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1069/133709/1069-133709-0041,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1069/133709/1069-133709-0041/1069-133709-0041.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1069/133709/1069-133709-0041.flac,16000,16000,8.925000,8.925000,0.000000,1,ok,priority,exact
1081_125237_1081-125237-0018,1081,125237,1081-125237-0018,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1081/125237/1081-125237-0018,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1081/125237/1081-125237-0018/1081-125237-0018.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1081/125237/1081-125237-0018.flac,16000,16000,6.040000,6.040000,0.000000,1,ok,priority,exact
1081_125237_1081-125237-0049,1081,125237,1081-125237-0049,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1081/125237/1081-125237-0049,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1081/125237/1081-125237-0049/1081-125237-0049.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1081/125237/1081-125237-0049.flac,16000,16000,14.715000,14.715000,0.000000,1,ok,priority,exact
1081_125237_1081-125237-0065,1081,125237,1081-125237-0065,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1081/125237/1081-125237-0065,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1081/125237/1081-125237-0065/1081-125237-0065.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1081/125237/1081-125237-0065.flac,16000,16000,13.385000,13.385000,0.000000,1,ok,priority,exact
1081_125237_1081-125237-0074,1081,125237,1081-125237-0074,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1081/125237/1081-125237-0074,/home/jaewoo/MAIR/ryu/robot_denoising/2026-capstone-43/LRDSE/data/noisy/1081/125237/1081-125237-0074/1081-125237-0074.wav,/home/jaewoo/MAIR/ryu/RIR/data/speech/LibriSpeech_10h_60spk/clean/1081/125237/1081-125237-0074.flac,16000,16000,8.790000,8.790000,0.000000,1,ok,priority,exact
